Parcela,idx,PROD
FUEN34-16,3502,31595
FUEN34-11,3553,3285
FUEN34-21,3582,2581
FUEN34-4,3804,13155
NAVA05-22,3882,2487
FUEN31-30,3914,0
NAVA05-24,3942,3843
FUEN34-15,3998,2537
FUEN34-5,4000,14912
NAVA05-3,4053,10374
FUEN31-5,4156,5482
FUEN31-6,4189,6076
FUEN31-14,4196,4489
FUEN34-24,4245,1235
FUEN34-0,4261,12240
FUEN34-1,4262,10599
FUEN34-1.1,4263,4426
FUEN34-25,4284,691
FUEN31-36,4285,5631
FUEN34-8,4422,2173
FUEN39-8,4424,1729
FUEN34-10,4426,12134
FUEN34-23,4732,3248
NAVA05-21,4777,4940
NAVA05-86,5246,4322
